,Serial,Date,From,To,Medium,Cost,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,1.0,27 Aug 2024,Ctg,Dhaka,(Bus),1100,,,,,
1,2.0,5 Oct 2024,Dhaka,Ctg,(Train),875,,,,,
2,3.0,17 Oct 2024,Ctg,Dhaka,(Train),875,,,,,
3,4.0,18 Dec 2024,Dhaka,Ctg,(Bus),700,,,,,
4,5.0,3 Feb 2025,Ctg,Dhaka,(Train),875,,,,,
5,6.0,6 Mar 2025,Dhaka,Ctg,(Train),875,,,,,
6,7.0,10 Apr 2025,Ctg,Dhaka,(Train),875,,,,,
7,8.0,29 May 2025,Dhaka,Ctg,(Train),875,,,,,
8,9.0,12 Jun 2025,Ctg,Dhaka,(Bus),700,,,,,
9,10.0,31 Jul 2025,Dhaka,Ctg,(Bus),700,,,,,
10,11.0,14 Aug 2025,Ctg,Dhaka,(Train),1050,,,,,
11,12.0,14 Sep 2025,Dhaka,Ctg,(Train),875,,,,,
12,13.0,8 Oct 2025,Ctg,Dhaka,(Bus),700,,,,,
13,14.0,9 Nov 2025,Dhaka,Ctg,(Train),875,,,,,
14,15.0,27 Nov 2025,Ctg,Dhaka,(Bus),700,,,,,
15,16.0,22 Dec 2025,Dhaka,Ctg,(Bus),700,,,,,
16,17.0,2 Jan 2026,Ctg,Dhaka,(Bus),700,,,,,
17,18.0,4 Feb 2026,Dhaka,Ctg,(Bus),700,,Events,Ctg to Dhaka,Dhaka to Ctg,Total
18,19.0,15 Feb 2026,Ctg,Dhaka,(Bus),700,,Train Count,5,7,12
19,20.0,9 Mar 2026,Dhaka,Ctg,(Train),875,,Bus Count,7,4,11
20,21.0,27 Mar 2026,Ctg,Dhaka,(Bus),700,,Train Cost,4195,6125,10320
21,22.0,19 May 2026,Dhaka,Ctg,(Train),875,,Bus Cost,5300,2800,8100
22,23.0,17 Jun 2026,Ctg,Dhaka,(Train),520,,Total Cost,9495,8925,18420
23,,,,,,18420,,,,,
